Model term,Coefficient,Original variable,Coding/scaling rule,Training-set centre,Training-set scale
Intercept,0.158366991089293,,Linear predictor intercept.,,
Age (years),0.1368175560723037,Age (years),Standardised continuous/ordinal predictor: (Age (years) - centre) / scale after random forest iterative imputation.,64.28289473684211,11.906553791901583
Baseline NIHSS,0.970115441776371,Baseline NIHSS,Standardised continuous/ordinal predictor: (Baseline NIHSS - centre) / scale after random forest iterative imputation.,21.477894736842103,9.85471733363072
SBP (mmHg),0.0565033280911206,SBP (mmHg),Standardised continuous/ordinal predictor: (SBP (mmHg) - centre) / scale after random forest iterative imputation.,150.66743421052632,21.92960614451537
PC-ASPECTS,-0.6146101259421243,PC-ASPECTS,Standardised continuous/ordinal predictor: (PC-ASPECTS - centre) / scale after random forest iterative imputation.,8.142105263157895,1.5913634635526208
OTA (min),0.0057692985038998,OTA (min),Standardised continuous/ordinal predictor: (OTA (min) - centre) / scale after random forest iterative imputation.,397.2631578947368,222.30027513898807
ASITN/SIR collateral score,-0.3944495916962617,ASITN/SIR collateral score,Standardised continuous/ordinal predictor: (ASITN/SIR collateral score - centre) / scale after random forest iterative imputation.,0.7822368421052631,0.9269404947179308
Occlusion site: middle,0.0617082883007958,Occlusion site,One-hot indicator for Occlusion site=middle; all one-hot levels are included in the penalised logistic regression.,,
Occlusion site: proximal,0.0773553729872015,Occlusion site,One-hot indicator for Occlusion site=proximal; all one-hot levels are included in the penalised logistic regression.,,
Occlusion site: distal,-0.1403236678394492,Occlusion site,One-hot indicator for Occlusion site=distal; all one-hot levels are included in the penalised logistic regression.,,
